model,model_label,variant,layer,n_layers,normalized_depth,intrinsic_dim,ci_low,ci_high
qwen3_4b,Qwen 3 4B,it,32,36,0.9143,16.0692,nan,nan
qwen3_4b,Qwen 3 4B,it,33,36,0.9429,17.0139,nan,nan
qwen3_4b,Qwen 3 4B,it,34,36,0.9714,17.822,nan,nan
qwen3_4b,Qwen 3 4B,it,35,36,1.0,17.6876,nan,nan
mistral_7b,Mistral 7B v0.3,pt,0,32,0.0,13.282,nan,nan
mistral_7b,Mistral 7B v0.3,pt,1,32,0.0323,14.1697,nan,nan
mistral_7b,Mistral 7B v0.3,pt,2,32,0.0645,13.177,nan,nan
mistral_7b,Mistral 7B v0.3,pt,3,32,0.0968,15.2927,nan,nan
mistral_7b,Mistral 7B v0.3,pt,4,32,0.129,15.1014,nan,nan
mistral_7b,Mistral 7B v0.3,pt,5,32,0.1613,12.6175,nan,nan
mistral_7b,Mistral 7B v0.3,pt,6,32,0.1935,12.351,nan,nan
mistral_7b,Mistral 7B v0.3,pt,7,32,0.2258,12.336,nan,nan
mistral_7b,Mistral 7B v0.3,pt,8,32,0.2581,12.121,nan,nan
mistral_7b,Mistral 7B v0.3,pt,9,32,0.2903,12.4181,nan,nan
mistral_7b,Mistral 7B v0.3,pt,10,32,0.3226,12.909,nan,nan
mistral_7b,Mistral 7B v0.3,pt,11,32,0.3548,13.3467,nan,nan
mistral_7b,Mistral 7B v0.3,pt,12,32,0.3871,13.3047,nan,nan
mistral_7b,Mistral 7B v0.3,pt,13,32,0.4194,13.6627,nan,nan
mistral_7b,Mistral 7B v0.3,pt,14,32,0.4516,14.314,nan,nan
mistral_7b,Mistral 7B v0.3,pt,15,32,0.4839,14.832,nan,nan
mistral_7b,Mistral 7B v0.3,pt,16,32,0.5161,14.354,nan,nan
mistral_7b,Mistral 7B v0.3,pt,17,32,0.5484,14.5445,nan,nan
mistral_7b,Mistral 7B v0.3,pt,18,32,0.5806,14.9831,nan,nan
mistral_7b,Mistral 7B v0.3,pt,19,32,0.6129,15.6639,nan,nan
mistral_7b,Mistral 7B v0.3,pt,20,32,0.6452,15.7196,nan,nan
mistral_7b,Mistral 7B v0.3,pt,21,32,0.6774,16.132,nan,nan
mistral_7b,Mistral 7B v0.3,pt,22,32,0.7097,16.3179,nan,nan
mistral_7b,Mistral 7B v0.3,pt,23,32,0.7419,16.7509,nan,nan
mistral_7b,Mistral 7B v0.3,pt,24,32,0.7742,17.6457,nan,nan
mistral_7b,Mistral 7B v0.3,pt,25,32,0.8065,18.1113,nan,nan
mistral_7b,Mistral 7B v0.3,pt,26,32,0.8387,18.5948,nan,nan
mistral_7b,Mistral 7B v0.3,pt,27,32,0.871,18.6654,nan,nan
mistral_7b,Mistral 7B v0.3,pt,28,32,0.9032,19.0917,nan,nan
mistral_7b,Mistral 7B v0.3,pt,29,32,0.9355,19.5411,nan,nan
mistral_7b,Mistral 7B v0.3,pt,30,32,0.9677,19.8079,nan,nan
mistral_7b,Mistral 7B v0.3,pt,31,32,1.0,19.9726,nan,nan
mistral_7b,Mistral 7B v0.3,it,0,32,0.0,13.3057,nan,nan
mistral_7b,Mistral 7B v0.3,it,1,32,0.0323,14.5177,nan,nan
mistral_7b,Mistral 7B v0.3,it,2,32,0.0645,13.6971,nan,nan
mistral_7b,Mistral 7B v0.3,it,3,32,0.0968,15.1217,nan,nan
mistral_7b,Mistral 7B v0.3,it,4,32,0.129,14.8845,nan,nan
mistral_7b,Mistral 7B v0.3,it,5,32,0.1613,12.5594,nan,nan
mistral_7b,Mistral 7B v0.3,it,6,32,0.1935,12.4687,nan,nan
mistral_7b,Mistral 7B v0.3,it,7,32,0.2258,12.1079,nan,nan
mistral_7b,Mistral 7B v0.3,it,8,32,0.2581,12.276,nan,nan
mistral_7b,Mistral 7B v0.3,it,9,32,0.2903,12.6922,nan,nan
mistral_7b,Mistral 7B v0.3,it,10,32,0.3226,13.3073,nan,nan
mistral_7b,Mistral 7B v0.3,it,11,32,0.3548,14.1682,nan,nan
mistral_7b,Mistral 7B v0.3,it,12,32,0.3871,14.3489,nan,nan
mistral_7b,Mistral 7B v0.3,it,13,32,0.4194,15.0216,nan,nan
mistral_7b,Mistral 7B v0.3,it,14,32,0.4516,15.2424,nan,nan
mistral_7b,Mistral 7B v0.3,it,15,32,0.4839,15.6937,nan,nan
mistral_7b,Mistral 7B v0.3,it,16,32,0.5161,15.2305,nan,nan
mistral_7b,Mistral 7B v0.3,it,17,32,0.5484,15.0513,nan,nan
mistral_7b,Mistral 7B v0.3,it,18,32,0.5806,15.4439,nan,nan
mistral_7b,Mistral 7B v0.3,it,19,32,0.6129,16.4584,nan,nan
mistral_7b,Mistral 7B v0.3,it,20,32,0.6452,16.5302,nan,nan
mistral_7b,Mistral 7B v0.3,it,21,32,0.6774,16.8598,nan,nan
mistral_7b,Mistral 7B v0.3,it,22,32,0.7097,17.2439,nan,nan
mistral_7b,Mistral 7B v0.3,it,23,32,0.7419,17.7078,nan,nan
mistral_7b,Mistral 7B v0.3,it,24,32,0.7742,18.5233,nan,nan
mistral_7b,Mistral 7B v0.3,it,25,32,0.8065,18.7433,nan,nan
mistral_7b,Mistral 7B v0.3,it,26,32,0.8387,19.0119,nan,nan
mistral_7b,Mistral 7B v0.3,it,27,32,0.871,19.4878,nan,nan
mistral_7b,Mistral 7B v0.3,it,28,32,0.9032,19.9189,nan,nan
mistral_7b,Mistral 7B v0.3,it,29,32,0.9355,20.3052,nan,nan
mistral_7b,Mistral 7B v0.3,it,30,32,0.9677,20.6741,nan,nan
mistral_7b,Mistral 7B v0.3,it,31,32,1.0,21.5762,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,0,27,0.0,13.378,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,1,27,0.0385,14.1554,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,2,27,0.0769,13.9818,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,3,27,0.1154,14.353,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,4,27,0.1538,14.5902,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,5,27,0.1923,14.8417,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,6,27,0.2308,15.5768,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,7,27,0.2692,15.0963,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,8,27,0.3077,14.6685,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,9,27,0.3462,15.4863,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,10,27,0.3846,14.5397,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,11,27,0.4231,14.5146,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,12,27,0.4615,14.7634,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,13,27,0.5,15.3492,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,14,27,0.5385,14.8148,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,15,27,0.5769,15.1619,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,16,27,0.6154,15.2799,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,17,27,0.6538,14.8744,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,18,27,0.6923,14.8132,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,19,27,0.7308,17.7539,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,20,27,0.7692,18.2831,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,21,27,0.8077,18.4764,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,22,27,0.8462,18.5433,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,23,27,0.8846,17.9421,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,24,27,0.9231,18.3821,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,25,27,0.9615,18.2758,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,pt,26,27,1.0,17.7998,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,0,27,0.0,12.954,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,1,27,0.0385,13.7846,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,2,27,0.0769,14.0797,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,3,27,0.1154,15.6178,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,4,27,0.1538,15.7317,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,5,27,0.1923,15.4165,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,6,27,0.2308,16.5558,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,7,27,0.2692,16.5093,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,8,27,0.3077,16.5412,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,9,27,0.3462,17.3801,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,10,27,0.3846,16.1386,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,11,27,0.4231,17.277,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,12,27,0.4615,17.6434,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,13,27,0.5,18.3575,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,14,27,0.5385,17.7725,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,15,27,0.5769,18.1532,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,16,27,0.6154,18.1287,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,17,27,0.6538,17.9276,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,18,27,0.6923,17.6878,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,19,27,0.7308,20.0943,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,20,27,0.7692,21.3744,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,21,27,0.8077,21.8816,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,22,27,0.8462,22.6951,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,23,27,0.8846,22.1335,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,24,27,0.9231,22.548,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,25,27,0.9615,22.5042,nan,nan
deepseek_v2_lite,DeepSeek-V2-Lite,it,26,27,1.0,21.9252,nan,nan
olmo2_7b,OLMo 2 7B,pt,0,32,0.0,14.0526,nan,nan
olmo2_7b,OLMo 2 7B,pt,1,32,0.0323,15.8719,nan,nan
olmo2_7b,OLMo 2 7B,pt,2,32,0.0645,16.3388,nan,nan
olmo2_7b,OLMo 2 7B,pt,3,32,0.0968,17.4356,nan,nan
olmo2_7b,OLMo 2 7B,pt,4,32,0.129,17.0001,nan,nan
olmo2_7b,OLMo 2 7B,pt,5,32,0.1613,16.7783,nan,nan
olmo2_7b,OLMo 2 7B,pt,6,32,0.1935,16.1961,nan,nan
olmo2_7b,OLMo 2 7B,pt,7,32,0.2258,16.1485,nan,nan
olmo2_7b,OLMo 2 7B,pt,8,32,0.2581,16.256,nan,nan
olmo2_7b,OLMo 2 7B,pt,9,32,0.2903,15.8661,nan,nan
olmo2_7b,OLMo 2 7B,pt,10,32,0.3226,15.7083,nan,nan
olmo2_7b,OLMo 2 7B,pt,11,32,0.3548,15.3397,nan,nan
olmo2_7b,OLMo 2 7B,pt,12,32,0.3871,15.2226,nan,nan
olmo2_7b,OLMo 2 7B,pt,13,32,0.4194,15.8103,nan,nan
olmo2_7b,OLMo 2 7B,pt,14,32,0.4516,16.3241,nan,nan
olmo2_7b,OLMo 2 7B,pt,15,32,0.4839,15.7997,nan,nan
olmo2_7b,OLMo 2 7B,pt,16,32,0.5161,15.8442,nan,nan
olmo2_7b,OLMo 2 7B,pt,17,32,0.5484,16.2887,nan,nan
olmo2_7b,OLMo 2 7B,pt,18,32,0.5806,15.3247,nan,nan
olmo2_7b,OLMo 2 7B,pt,19,32,0.6129,15.9478,nan,nan
olmo2_7b,OLMo 2 7B,pt,20,32,0.6452,15.7332,nan,nan
olmo2_7b,OLMo 2 7B,pt,21,32,0.6774,15.6223,nan,nan
olmo2_7b,OLMo 2 7B,pt,22,32,0.7097,16.5265,nan,nan
olmo2_7b,OLMo 2 7B,pt,23,32,0.7419,17.0901,nan,nan
olmo2_7b,OLMo 2 7B,pt,24,32,0.7742,18.3936,nan,nan
olmo2_7b,OLMo 2 7B,pt,25,32,0.8065,19.3976,nan,nan
olmo2_7b,OLMo 2 7B,pt,26,32,0.8387,20.212,nan,nan
olmo2_7b,OLMo 2 7B,pt,27,32,0.871,21.1344,nan,nan
olmo2_7b,OLMo 2 7B,pt,28,32,0.9032,21.9506,nan,nan
olmo2_7b,OLMo 2 7B,pt,29,32,0.9355,21.9347,nan,nan
olmo2_7b,OLMo 2 7B,pt,30,32,0.9677,21.5589,nan,nan
olmo2_7b,OLMo 2 7B,pt,31,32,1.0,20.8533,nan,nan
olmo2_7b,OLMo 2 7B,it,0,32,0.0,14.208,nan,nan
olmo2_7b,OLMo 2 7B,it,1,32,0.0323,15.6938,nan,nan
olmo2_7b,OLMo 2 7B,it,2,32,0.0645,16.7959,nan,nan
olmo2_7b,OLMo 2 7B,it,3,32,0.0968,18.3138,nan,nan
olmo2_7b,OLMo 2 7B,it,4,32,0.129,18.0814,nan,nan
olmo2_7b,OLMo 2 7B,it,5,32,0.1613,17.9015,nan,nan
olmo2_7b,OLMo 2 7B,it,6,32,0.1935,17.3173,nan,nan
olmo2_7b,OLMo 2 7B,it,7,32,0.2258,17.316,nan,nan
olmo2_7b,OLMo 2 7B,it,8,32,0.2581,17.4427,nan,nan
olmo2_7b,OLMo 2 7B,it,9,32,0.2903,17.3788,nan,nan
olmo2_7b,OLMo 2 7B,it,10,32,0.3226,17.1942,nan,nan
olmo2_7b,OLMo 2 7B,it,11,32,0.3548,16.5071,nan,nan
olmo2_7b,OLMo 2 7B,it,12,32,0.3871,16.5008,nan,nan
olmo2_7b,OLMo 2 7B,it,13,32,0.4194,17.2354,nan,nan
olmo2_7b,OLMo 2 7B,it,14,32,0.4516,17.4025,nan,nan
olmo2_7b,OLMo 2 7B,it,15,32,0.4839,17.2396,nan,nan
olmo2_7b,OLMo 2 7B,it,16,32,0.5161,17.4389,nan,nan
olmo2_7b,OLMo 2 7B,it,17,32,0.5484,17.5289,nan,nan
olmo2_7b,OLMo 2 7B,it,18,32,0.5806,16.867,nan,nan
olmo2_7b,OLMo 2 7B,it,19,32,0.6129,17.2316,nan,nan
olmo2_7b,OLMo 2 7B,it,20,32,0.6452,17.0922,nan,nan
olmo2_7b,OLMo 2 7B,it,21,32,0.6774,17.3923,nan,nan
olmo2_7b,OLMo 2 7B,it,22,32,0.7097,18.7087,nan,nan
olmo2_7b,OLMo 2 7B,it,23,32,0.7419,19.4114,nan,nan
olmo2_7b,OLMo 2 7B,it,24,32,0.7742,20.6218,nan,nan
olmo2_7b,OLMo 2 7B,it,25,32,0.8065,21.7231,nan,nan
olmo2_7b,OLMo 2 7B,it,26,32,0.8387,22.8357,nan,nan
olmo2_7b,OLMo 2 7B,it,27,32,0.871,23.8218,nan,nan
olmo2_7b,OLMo 2 7B,it,28,32,0.9032,25.1169,nan,nan
olmo2_7b,OLMo 2 7B,it,29,32,0.9355,25.5033,nan,nan
olmo2_7b,OLMo 2 7B,it,30,32,0.9677,25.6131,nan,nan
olmo2_7b,OLMo 2 7B,it,31,32,1.0,25.5375,nan,nan
