side,model,effect,kind,n_models,n_prompt_ids,mean,ci_low,ci_high
pt,dense5,E_mid_pt,delta,5,3000,-0.031030182980103183,-0.036466944609815255,-0.025806106229498815
pt,gemma3_4b,E_mid_pt,delta,1,600,-0.019590262244201906,-0.025356049098840188,-0.013883564892106163
pt,qwen3_4b,E_mid_pt,delta,1,600,-0.10193082819326404,-0.11927051829690027,-0.08477589140464459
pt,llama31_8b,E_mid_pt,delta,1,600,-0.2112001922929556,-0.224508744640092,-0.19689342429585913
pt,mistral_7b,E_mid_pt,delta,1,600,0.11418129224252382,0.1060797335232298,0.12253945712452453
pt,olmo2_7b,E_mid_pt,delta,1,600,0.06338907558738183,0.05326406108750433,0.07343624952565851
pt,dense5,E_late_pt,delta,5,3000,0.21747604404046883,0.20882499262676113,0.22609248619283867
pt,gemma3_4b,E_late_pt,delta,1,600,0.3227720245793597,0.2926415787301622,0.35842948682911185
pt,qwen3_4b,E_late_pt,delta,1,600,0.39706940994142226,0.37489876479075745,0.42051061423004116
pt,llama31_8b,E_late_pt,delta,1,600,0.17077360632633454,0.15920703808414902,0.18252480882781694
pt,mistral_7b,E_late_pt,delta,1,600,0.22210246028226033,0.21213654180391783,0.23205301053379956
pt,olmo2_7b,E_late_pt,delta,1,600,-0.02533728092703269,-0.03903582149238487,-0.01084532900961465
pt,dense5,E_midlate_pt,delta,5,3000,0.19780709199007113,0.18754174981086347,0.20822739234593024
pt,gemma3_4b,E_midlate_pt,delta,1,600,0.3131088758063134,0.28110222528383105,0.34803662249618056
pt,qwen3_4b,E_midlate_pt,delta,1,600,0.3364664394565171,0.30919230590096636,0.36616673795302884
pt,llama31_8b,E_midlate_pt,delta,1,600,-0.025614945256152932,-0.04456435271112293,-0.007458988823226093
pt,mistral_7b,E_midlate_pt,delta,1,600,0.3226796579513822,0.3101827879708738,0.3354179562692576
pt,olmo2_7b,E_midlate_pt,delta,1,600,0.042395431992295896,0.023954512724425635,0.062270163140529404
pt,dense5,I_pt,interaction,5,3000,0.01136123092970549,0.008746913052024316,0.01387945171679382
pt,gemma3_4b,I_pt,interaction,1,600,0.009927113471155602,0.0027674585291529914,0.01681052988227692
pt,qwen3_4b,I_pt,interaction,1,600,0.041327857708358895,0.03544510408391031,0.04760385939872985
pt,llama31_8b,I_pt,interaction,1,600,0.014811640710468144,0.006931821224296986,0.022189215250400348
pt,mistral_7b,I_pt,interaction,1,600,-0.013604094573401948,-0.01729792875623023,-0.009830532922736047
pt,olmo2_7b,I_pt,interaction,1,600,0.004343637331946759,0.0005448500990065497,0.007938208964979342
pt,dense5,L_given_M_pt,simple_effect,5,3000,0.2288372749701743,0.22094248496255134,0.23742398315223578
pt,gemma3_4b,L_given_M_pt,simple_effect,1,600,0.3326991380505153,0.30427077662181407,0.3689125135205631
pt,qwen3_4b,L_given_M_pt,simple_effect,1,600,0.43839726764978115,0.4154594335594786,0.46189125902397554
pt,llama31_8b,L_given_M_pt,simple_effect,1,600,0.18558524703680268,0.17330841935758862,0.19771658669601322
pt,mistral_7b,L_given_M_pt,simple_effect,1,600,0.20849836570885838,0.19996087630437373,0.2170660129995813
pt,olmo2_7b,L_given_M_pt,simple_effect,1,600,-0.02099364359508593,-0.03407930339582445,-0.006777486319491834
pt,dense5,L_alone_pt,simple_effect,5,3000,0.21747604404046883,0.20897230799020758,0.22680016677091827
pt,gemma3_4b,L_alone_pt,simple_effect,1,600,0.3227720245793597,0.2923736139719963,0.3596579034622172
pt,qwen3_4b,L_alone_pt,simple_effect,1,600,0.39706940994142226,0.37463391687528036,0.4207570236798022
pt,llama31_8b,L_alone_pt,simple_effect,1,600,0.17077360632633454,0.15861681374867914,0.1828458737562794
pt,mistral_7b,L_alone_pt,simple_effect,1,600,0.22210246028226033,0.21239218618337408,0.2321334419722536
pt,olmo2_7b,L_alone_pt,simple_effect,1,600,-0.02533728092703269,-0.039284154733857504,-0.010421331640489685
it,dense5,E_mid_it,signed_delta,5,3000,-0.486283990318863,-0.49920202915225176,-0.47267761062315056
it,gemma3_4b,E_mid_it,signed_delta,1,600,-1.1376149951790735,-1.1789839540658482,-1.0984515172428333
it,qwen3_4b,E_mid_it,signed_delta,1,600,-0.7130276130643693,-0.7539972098927963,-0.6709372477148456
it,llama31_8b,E_mid_it,signed_delta,1,600,-0.18014286414360603,-0.20657991342440865,-0.15343325554406229
it,mistral_7b,E_mid_it,signed_delta,1,600,-0.1912516820642458,-0.2056343884086097,-0.17708733289272474
it,olmo2_7b,E_mid_it,signed_delta,1,600,-0.20938279714302022,-0.2259407119376272,-0.19405841613580266
it,dense5,E_late_it,signed_delta,5,3000,-0.8220648771449504,-0.8399821752877369,-0.8045698233419784
it,gemma3_4b,E_late_it,signed_delta,1,600,-1.635812916606943,-1.7023294213304894,-1.5724209192177359
it,qwen3_4b,E_late_it,signed_delta,1,600,-1.1886998023850794,-1.2335499233113045,-1.1457425168523343
it,llama31_8b,E_late_it,signed_delta,1,600,-0.5802905628252164,-0.6043271683963884,-0.5573291820416975
it,mistral_7b,E_late_it,signed_delta,1,600,-0.6538788100009256,-0.665341955280517,-0.6418259340798365
it,olmo2_7b,E_late_it,signed_delta,1,600,-0.051642293906587255,-0.07299106158257813,-0.0345582506010733
it,dense5,E_midlate_it,signed_delta,5,3000,-0.9865076299132886,-1.0086458346813227,-0.9648484603415536
it,gemma3_4b,E_midlate_it,signed_delta,1,600,-1.7805643785598397,-1.8524993148911642,-1.7164069954300802
it,qwen3_4b,E_midlate_it,signed_delta,1,600,-1.7307532057848358,-1.8117458478827588,-1.655701188521031
it,llama31_8b,E_midlate_it,signed_delta,1,600,-0.5519289249644972,-0.5842919843426364,-0.5194350864508748
it,mistral_7b,E_midlate_it,signed_delta,1,600,-0.6590593241160403,-0.6762973011126258,-0.6416062518308165
it,olmo2_7b,E_midlate_it,signed_delta,1,600,-0.21023231614122917,-0.23523940699952955,-0.18704178295240628
it,dense5,I_it,signed_interaction,5,3000,0.3218412375505249,0.31265764596909473,0.3313577763124148
it,gemma3_4b,I_it,signed_interaction,1,600,0.9928635332261768,0.9586517084082956,1.0289058025647677
it,qwen3_4b,I_it,signed_interaction,1,600,0.17097420966461296,0.14524740285037735,0.19632871594306914
it,llama31_8b,I_it,signed_interaction,1,600,0.20850450200432524,0.1963398399947234,0.22078960719134294
it,mistral_7b,I_it,signed_interaction,1,600,0.18607116794913114,0.17887312515281217,0.1932140724577005
it,olmo2_7b,I_it,signed_interaction,1,600,0.0507927749083783,0.04105606219404044,0.06176334147681418
it,dense5,C_mid_it,collapse,5,3000,0.486283990318863,0.472858959326752,0.49936032790909674
it,gemma3_4b,C_mid_it,collapse,1,600,1.1376149951790735,1.0992972273483448,1.178576685047508
it,qwen3_4b,C_mid_it,collapse,1,600,0.7130276130643693,0.6733173675113631,0.753522966657648
it,llama31_8b,C_mid_it,collapse,1,600,0.18014286414360603,0.1556859469543158,0.2037604689527318
it,mistral_7b,C_mid_it,collapse,1,600,0.1912516820642458,0.17642199834607042,0.20573264108670902
it,olmo2_7b,C_mid_it,collapse,1,600,0.20938279714302022,0.19423397649182964,0.22515978191024913
it,dense5,C_late_it,collapse,5,3000,0.8220648771449504,0.8058189297980181,0.838998035322637
it,gemma3_4b,C_late_it,collapse,1,600,1.635812916606943,1.5734485002291962,1.6991579769463805
it,qwen3_4b,C_late_it,collapse,1,600,1.1886998023850794,1.144977235541559,1.2333916626309755
it,llama31_8b,C_late_it,collapse,1,600,0.5802905628252164,0.5564548557310522,0.6025204705595066
it,mistral_7b,C_late_it,collapse,1,600,0.6538788100009256,0.6426118861375766,0.6655880936545969
it,olmo2_7b,C_late_it,collapse,1,600,0.051642293906587255,0.033955540736867115,0.06989315619212377
it,dense5,C_midlate_it,collapse,5,3000,0.9865076299132886,0.9643659271186078,1.0083234248061574
it,gemma3_4b,C_midlate_it,collapse,1,600,1.7805643785598397,1.7169246134327993,1.846216003753636
it,qwen3_4b,C_midlate_it,collapse,1,600,1.7307532057848358,1.6528960912773982,1.8061154316444337
it,llama31_8b,C_midlate_it,collapse,1,600,0.5519289249644972,0.5178946118262358,0.584722601404014
it,mistral_7b,C_midlate_it,collapse,1,600,0.6590593241160403,0.6396440546243128,0.6777688520830929
it,olmo2_7b,C_midlate_it,collapse,1,600,0.21023231614122917,0.18762346906934452,0.23413011072022732
it,dense5,I_collapse_it,collapse_interaction,5,3000,-0.3218412375505248,-0.33185361534065777,-0.3118915907486919
it,gemma3_4b,I_collapse_it,collapse_interaction,1,600,-0.9928635332261768,-1.0303192191132344,-0.955916986612522
it,qwen3_4b,I_collapse_it,collapse_interaction,1,600,-0.17097420966461208,-0.19740706976584182,-0.14466017938297368
it,llama31_8b,I_collapse_it,collapse_interaction,1,600,-0.2085045020043248,-0.22075254350974788,-0.19636918599798292
it,mistral_7b,I_collapse_it,collapse_interaction,1,600,-0.1860711679491316,-0.1932713958298789,-0.17902679797172194
it,olmo2_7b,I_collapse_it,collapse_interaction,1,600,-0.050792774908378746,-0.0617054535001908,-0.04117909733039372
