position_filter,position_label,axis,category,count,total,record_fraction
all,all positions,prompt_category,CONTENT-FACT,300,1397,0.2147458840372226
all,all positions,prompt_category,GOV-CONV,300,1397,0.2147458840372226
all,all positions,prompt_category,GOV-FORMAT,249,1397,0.17823908375089478
all,all positions,prompt_category,CONTENT-REASON,199,1397,0.14244810307802433
all,all positions,prompt_category,SAFETY,149,1397,0.1066571224051539
all,all positions,prompt_category,GOV-REGISTER,100,1397,0.07158196134574088
all,all positions,prompt_category,BASELINE-EASY,100,1397,0.07158196134574088
all,all positions,prompt_source,custom,406,1397,0.29062276306370793
all,all positions,prompt_source,MMLU,300,1397,0.2147458840372226
all,all positions,prompt_source,IFEval,249,1397,0.17823908375089478
all,all positions,prompt_source,GSM8K,199,1397,0.14244810307802433
all,all positions,prompt_source,MT-Bench,80,1397,0.0572655690765927
all,all positions,prompt_source,custom_safe,74,1397,0.052970651395848244
all,all positions,prompt_source,advbench,69,1397,0.049391553328561204
all,all positions,prompt_source,WildChat-style,20,1397,0.014316392269148175
all,all positions,it_token_category,CONTENT,645,1397,0.4617036506800286
all,all positions,it_token_category,FUNCTION_OTHER,530,1397,0.3793843951324266
all,all positions,it_token_category,FORMAT,222,1397,0.15891195418754475
all,all positions,pt_token_category,CONTENT,688,1397,0.4924838940586972
all,all positions,pt_token_category,FUNCTION_OTHER,531,1397,0.380100214745884
all,all positions,pt_token_category,FORMAT,178,1397,0.12741589119541877
step_0,position 0,prompt_category,GOV-FORMAT,145,542,0.26752767527675275
step_0,position 0,prompt_category,GOV-CONV,109,542,0.2011070110701107
step_0,position 0,prompt_category,CONTENT-REASON,101,542,0.1863468634686347
step_0,position 0,prompt_category,SAFETY,76,542,0.14022140221402213
step_0,position 0,prompt_category,CONTENT-FACT,71,542,0.13099630996309963
step_0,position 0,prompt_category,BASELINE-EASY,37,542,0.06826568265682657
step_0,position 0,prompt_category,GOV-REGISTER,3,542,0.005535055350553505
step_0,position 0,prompt_source,IFEval,145,542,0.26752767527675275
step_0,position 0,prompt_source,custom,106,542,0.19557195571955718
step_0,position 0,prompt_source,GSM8K,101,542,0.1863468634686347
step_0,position 0,prompt_source,MMLU,71,542,0.13099630996309963
step_0,position 0,prompt_source,advbench,40,542,0.07380073800738007
step_0,position 0,prompt_source,MT-Bench,34,542,0.06273062730627306
step_0,position 0,prompt_source,custom_safe,33,542,0.06088560885608856
step_0,position 0,prompt_source,WildChat-style,12,542,0.02214022140221402
step_0,position 0,it_token_category,FUNCTION_OTHER,277,542,0.511070110701107
step_0,position 0,it_token_category,CONTENT,181,542,0.3339483394833948
step_0,position 0,it_token_category,FORMAT,84,542,0.15498154981549817
step_0,position 0,pt_token_category,FUNCTION_OTHER,259,542,0.477859778597786
step_0,position 0,pt_token_category,CONTENT,213,542,0.3929889298892989
step_0,position 0,pt_token_category,FORMAT,70,542,0.12915129151291513
step_ge1,positions >=1,prompt_category,CONTENT-FACT,229,855,0.26783625730994154
step_ge1,positions >=1,prompt_category,GOV-CONV,191,855,0.22339181286549709
step_ge1,positions >=1,prompt_category,GOV-FORMAT,104,855,0.1216374269005848
step_ge1,positions >=1,prompt_category,CONTENT-REASON,98,855,0.11461988304093568
step_ge1,positions >=1,prompt_category,GOV-REGISTER,97,855,0.11345029239766082
step_ge1,positions >=1,prompt_category,SAFETY,73,855,0.08538011695906433
step_ge1,positions >=1,prompt_category,BASELINE-EASY,63,855,0.07368421052631578
step_ge1,positions >=1,prompt_source,custom,300,855,0.3508771929824561
step_ge1,positions >=1,prompt_source,MMLU,229,855,0.26783625730994154
step_ge1,positions >=1,prompt_source,IFEval,104,855,0.1216374269005848
step_ge1,positions >=1,prompt_source,GSM8K,98,855,0.11461988304093568
step_ge1,positions >=1,prompt_source,MT-Bench,46,855,0.05380116959064327
step_ge1,positions >=1,prompt_source,custom_safe,41,855,0.047953216374269005
step_ge1,positions >=1,prompt_source,advbench,29,855,0.03391812865497076
step_ge1,positions >=1,prompt_source,WildChat-style,8,855,0.00935672514619883
step_ge1,positions >=1,it_token_category,CONTENT,464,855,0.5426900584795321
step_ge1,positions >=1,it_token_category,FUNCTION_OTHER,253,855,0.295906432748538
step_ge1,positions >=1,it_token_category,FORMAT,138,855,0.16140350877192983
step_ge1,positions >=1,pt_token_category,CONTENT,475,855,0.5555555555555556
step_ge1,positions >=1,pt_token_category,FUNCTION_OTHER,272,855,0.31812865497076026
step_ge1,positions >=1,pt_token_category,FORMAT,108,855,0.12631578947368421
step_ge3,positions >=3,prompt_category,CONTENT-FACT,174,628,0.2770700636942675
step_ge3,positions >=3,prompt_category,GOV-CONV,148,628,0.2356687898089172
step_ge3,positions >=3,prompt_category,GOV-REGISTER,88,628,0.14012738853503184
step_ge3,positions >=3,prompt_category,CONTENT-REASON,71,628,0.11305732484076433
step_ge3,positions >=3,prompt_category,GOV-FORMAT,65,628,0.1035031847133758
step_ge3,positions >=3,prompt_category,SAFETY,56,628,0.08917197452229299
step_ge3,positions >=3,prompt_category,BASELINE-EASY,26,628,0.041401273885350316
step_ge3,positions >=3,prompt_source,custom,219,628,0.3487261146496815
step_ge3,positions >=3,prompt_source,MMLU,174,628,0.2770700636942675
step_ge3,positions >=3,prompt_source,GSM8K,71,628,0.11305732484076433
step_ge3,positions >=3,prompt_source,IFEval,65,628,0.1035031847133758
step_ge3,positions >=3,prompt_source,MT-Bench,38,628,0.06050955414012739
step_ge3,positions >=3,prompt_source,custom_safe,30,628,0.04777070063694268
step_ge3,positions >=3,prompt_source,advbench,24,628,0.03821656050955414
step_ge3,positions >=3,prompt_source,WildChat-style,7,628,0.011146496815286623
step_ge3,positions >=3,it_token_category,CONTENT,333,628,0.5302547770700637
step_ge3,positions >=3,it_token_category,FUNCTION_OTHER,214,628,0.34076433121019106
step_ge3,positions >=3,it_token_category,FORMAT,81,628,0.12898089171974522
step_ge3,positions >=3,pt_token_category,CONTENT,342,628,0.5445859872611465
step_ge3,positions >=3,pt_token_category,FUNCTION_OTHER,215,628,0.34235668789808915
step_ge3,positions >=3,pt_token_category,FORMAT,71,628,0.11305732484076433
step_ge5,positions >=5,prompt_category,GOV-CONV,100,427,0.234192037470726
step_ge5,positions >=5,prompt_category,CONTENT-FACT,87,427,0.20374707259953162
step_ge5,positions >=5,prompt_category,GOV-REGISTER,72,427,0.1686182669789227
step_ge5,positions >=5,prompt_category,CONTENT-REASON,59,427,0.13817330210772832
step_ge5,positions >=5,prompt_category,SAFETY,52,427,0.12177985948477751
step_ge5,positions >=5,prompt_category,GOV-FORMAT,43,427,0.10070257611241218
step_ge5,positions >=5,prompt_category,BASELINE-EASY,14,427,0.03278688524590164
step_ge5,positions >=5,prompt_source,custom,154,427,0.36065573770491804
step_ge5,positions >=5,prompt_source,MMLU,87,427,0.20374707259953162
step_ge5,positions >=5,prompt_source,GSM8K,59,427,0.13817330210772832
step_ge5,positions >=5,prompt_source,IFEval,43,427,0.10070257611241218
step_ge5,positions >=5,prompt_source,MT-Bench,29,427,0.06791569086651054
step_ge5,positions >=5,prompt_source,custom_safe,26,427,0.06088992974238876
step_ge5,positions >=5,prompt_source,advbench,24,427,0.05620608899297424
step_ge5,positions >=5,prompt_source,WildChat-style,5,427,0.0117096018735363
step_ge5,positions >=5,it_token_category,CONTENT,231,427,0.5409836065573771
step_ge5,positions >=5,it_token_category,FUNCTION_OTHER,133,427,0.3114754098360656
step_ge5,positions >=5,it_token_category,FORMAT,63,427,0.14754098360655737
step_ge5,positions >=5,pt_token_category,CONTENT,233,427,0.5456674473067916
step_ge5,positions >=5,pt_token_category,FUNCTION_OTHER,134,427,0.31381733021077285
step_ge5,positions >=5,pt_token_category,FORMAT,60,427,0.1405152224824356
step_ge10,positions >=10,prompt_category,CONTENT-FACT,52,212,0.24528301886792453
step_ge10,positions >=10,prompt_category,GOV-CONV,48,212,0.22641509433962265
step_ge10,positions >=10,prompt_category,GOV-REGISTER,40,212,0.18867924528301888
step_ge10,positions >=10,prompt_category,CONTENT-REASON,32,212,0.1509433962264151
step_ge10,positions >=10,prompt_category,SAFETY,20,212,0.09433962264150944
step_ge10,positions >=10,prompt_category,GOV-FORMAT,19,212,0.08962264150943396
step_ge10,positions >=10,prompt_category,BASELINE-EASY,1,212,0.0047169811320754715
step_ge10,positions >=10,prompt_source,custom,72,212,0.33962264150943394
step_ge10,positions >=10,prompt_source,MMLU,52,212,0.24528301886792453
step_ge10,positions >=10,prompt_source,GSM8K,32,212,0.1509433962264151
step_ge10,positions >=10,prompt_source,IFEval,19,212,0.08962264150943396
step_ge10,positions >=10,prompt_source,MT-Bench,14,212,0.0660377358490566
step_ge10,positions >=10,prompt_source,custom_safe,14,212,0.0660377358490566
step_ge10,positions >=10,prompt_source,advbench,6,212,0.02830188679245283
step_ge10,positions >=10,prompt_source,WildChat-style,3,212,0.014150943396226415
step_ge10,positions >=10,it_token_category,CONTENT,114,212,0.5377358490566038
step_ge10,positions >=10,it_token_category,FUNCTION_OTHER,59,212,0.2783018867924528
step_ge10,positions >=10,it_token_category,FORMAT,39,212,0.18396226415094338
step_ge10,positions >=10,pt_token_category,CONTENT,113,212,0.5330188679245284
step_ge10,positions >=10,pt_token_category,FUNCTION_OTHER,61,212,0.28773584905660377
step_ge10,positions >=10,pt_token_category,FORMAT,38,212,0.1792452830188679
